name,path,type,size
file_worker,..\seminar7_hw\file_worker,directory,26719
hw_task1_dir,..\seminar7_hw\hw_task1_dir,directory,2256
lesson_task6_dir,..\seminar7_hw\lesson_task6_dir,directory,2256
lesson_task1,..\seminar7_hw\lesson_task1,file,122
lesson_task2,..\seminar7_hw\lesson_task2,file,48
lesson_task3,..\seminar7_hw\lesson_task3,file,145
main.py,..\seminar7_hw\main.py,file,851
README.md,..\seminar7_hw\README.md,file,1785
__pycache__,..\seminar7_hw\file_worker\__pycache__,directory,14466
homework_task1.py,..\seminar7_hw\file_worker\homework_task1.py,file,1844
lesson_task1.py,..\seminar7_hw\file_worker\lesson_task1.py,file,1183
lesson_task2.py,..\seminar7_hw\file_worker\lesson_task2.py,file,2248
lesson_task3.py,..\seminar7_hw\file_worker\lesson_task3.py,file,2038
lesson_task4.py,..\seminar7_hw\file_worker\lesson_task4.py,file,1693
lesson_task5.py,..\seminar7_hw\file_worker\lesson_task5.py,file,1190
lesson_task6.py,..\seminar7_hw\file_worker\lesson_task6.py,file,1696
__init__.py,..\seminar7_hw\file_worker\__init__.py,file,361
homework_task1.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\homework_task1.cpython-311.pyc,file,1268
lesson_task1.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task1.cpython-311.pyc,file,1245
lesson_task2.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task2.cpython-311.pyc,file,4425
lesson_task3.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task3.cpython-311.pyc,file,2369
lesson_task4.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task4.cpython-311.pyc,file,1593
lesson_task5.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task5.cpython-311.pyc,file,651
lesson_task6.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\lesson_task6.cpython-311.pyc,file,2331
__init__.cpython-311.pyc,..\seminar7_hw\file_worker\__pycache__\__init__.cpython-311.pyc,file,584
1bq8wC.png,..\seminar7_hw\hw_task1_dir\1bq8wC.png,file,221
ai_hw_task1_003.md,..\seminar7_hw\hw_task1_dir\ai_hw_task1_003.md,file,245
GdmljbdW.png,..\seminar7_hw\hw_task1_dir\GdmljbdW.png,file,216
Go_hw_task1_000.md,..\seminar7_hw\hw_task1_dir\Go_hw_task1_000.md,file,247
gSbhrR.png,..\seminar7_hw\hw_task1_dir\gSbhrR.png,file,248
HzAnCw.png,..\seminar7_hw\hw_task1_dir\HzAnCw.png,file,216
jC_hw_task1_001.md,..\seminar7_hw\hw_task1_dir\jC_hw_task1_001.md,file,199
l12UF.png,..\seminar7_hw\hw_task1_dir\l12UF.png,file,211
qv_hw_task1_002.md,..\seminar7_hw\hw_task1_dir\qv_hw_task1_002.md,file,245
VY2q.png,..\seminar7_hw\hw_task1_dir\VY2q.png,file,208
1bq8wC.png,..\seminar7_hw\lesson_task6_dir\1bq8wC.png,file,221
bKGowpt.txt,..\seminar7_hw\lesson_task6_dir\bKGowpt.txt,file,247
eCjCc.txt,..\seminar7_hw\lesson_task6_dir\eCjCc.txt,file,199
GdmljbdW.png,..\seminar7_hw\lesson_task6_dir\GdmljbdW.png,file,216
gSbhrR.png,..\seminar7_hw\lesson_task6_dir\gSbhrR.png,file,248
HzAnCw.png,..\seminar7_hw\lesson_task6_dir\HzAnCw.png,file,216
l12UF.png,..\seminar7_hw\lesson_task6_dir\l12UF.png,file,211
Riqv.txt,..\seminar7_hw\lesson_task6_dir\Riqv.txt,file,245
VY2q.png,..\seminar7_hw\lesson_task6_dir\VY2q.png,file,208
XIai.txt,..\seminar7_hw\lesson_task6_dir\XIai.txt,file,245
